id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
113	agricultural land	-0.6525	0.3255	2	231	285	27	2014.3704
114	agricultural production	-0.6218	0.2481	2	170	199	19	2014.6842
115	agricultural soil	-0.5922	0.1472	2	200	225	18	2015.8333
116	agrobacterium	-0.5438	-0.6315	1	197	296	23	2014.7826
117	agrobacterium tumefacien	-0.2262	-0.4681	1	143	164	12	2014.8333
118	agronomic trait	-0.7264	-0.2473	1	197	257	19	2014.4211
119	ahp	-0.1235	0.5289	2	198	342	23	2016.5652
120	air	0.5085	0.1065	3	956	2109	153	2014.0523
121	alamo	-0.7383	-0.3038	1	197	298	21	2013.9524
122	alcohol dehydrogenase	0.4643	-0.539	1	949	2724	175	2014.0286
123	alcohol oxidase	0.9199	-0.2561	3	215	269	17	2015.5294
124	alcoholic fermentation	-0.3243	0.3481	2	275	378	39	2016.7949
125	alcoholysis	0.4216	0.7206	6	147	254	19	2010.5789
126	aldehyde deformylating oxygenase	-0.0052	-0.7469	1	217	391	30	2016.4667
127	aldehyde dehydrogenase	0.5977	-0.5882	1	346	572	34	2014.8235
128	aldehyde reductase	-0.079	-0.6412	1	149	210	15	2015.9333
129	aldh	0.5341	-0.5327	1	165	210	13	2015.6923
130	alfalfa	-0.527	-0.1094	2	275	366	26	2013.0769
131	alga	-0.7393	-0.2858	1	655	1288	100	2015.95
132	algal	-0.7168	-0.2109	1	211	259	20	2016.85
133	algal biodiesel	-0.7919	0.0215	1	217	329	23	2015.4348
134	algal biofuel	-0.7192	-0.0058	1	297	452	45	2015.6
135	algal biofuel production	-0.5818	-0.0696	1	223	273	23	2015.8261
136	algal biomass production	-0.7466	0.1198	1	135	176	16	2015.4375
137	algal cell	-0.6871	-0.193	1	429	712	54	2014.9444
138	algal cultivation	-0.6863	0.0631	1	169	232	20	2016.4
139	algal culture	-0.7521	-0.1216	1	208	288	22	2014.5909
140	algal growth	-0.756	-0.0553	1	331	548	49	2015.6122
141	algal lipid	-0.8177	-0.067	1	192	278	21	2014.9524
142	algal oil	-0.243	0.1892	6	241	364	24	2015.875
143	algal species	-0.7318	-0.3797	1	385	588	46	2016.087
144	algal strain	-0.754	-0.3174	1	388	619	43	2015.0698
145	alginate lyase	0.1534	-0.2514	4	103	152	20	2017.05
146	alkali	-0.0912	0.5354	2	423	671	52	2016.2308
147	alkali concentration	-0.1479	0.8167	2	84	113	10	2015
148	alkali pretreatment	-0.2848	0.51	2	420	751	52	2016.7692
149	alkali treatment	-0.185	0.4579	2	183	228	19	2014.7895
150	alkaline catalyst	0.3418	0.8063	6	103	178	12	2014.9167
151	alkaline extraction	-0.1335	0.6046	2	145	190	15	2015.7333
152	alkaline hydrogen peroxide	-0.0854	0.5148	2	234	357	23	2016.8261
153	alkaline hydrolysis	-0.181	0.3785	2	122	144	12	2014.4167
154	alkaline peroxide	-0.1865	0.4117	2	143	179	14	2014.4286
155	alkaline pre treatment	-0.339	0.5361	2	138	163	15	2016.2667
156	alkaline pretreatment	-0.3034	0.6185	2	663	1438	113	2016.1947
157	alkaline transesterification	-0.0459	0.7804	6	132	219	16	2015.8125
158	alkaline treatment	-0.2425	0.5407	2	178	204	17	2016.9412
159	alkalinity	-0.6128	0.6278	5	258	416	29	2015.1379
160	alkane	-0.1046	-0.4092	1	604	1191	101	2015.5842
161	alkene	-0.0616	-0.3341	1	331	532	44	2016.8864
162	alkyl ester	0.2476	0.4106	6	128	199	13	2013.4615
163	allele	-0.6021	-0.4512	1	366	653	41	2015.7805
164	allocation	-0.6919	-0.0286	2	353	462	36	2015.3056
165	alternative carbon source	-0.4044	-0.0726	1	116	147	13	2014.6923
166	alternative pathway	-0.1108	-0.5849	1	228	279	18	2015.4444
167	alternative use	-0.5221	0.4071	2	135	158	15	2015.1333
168	ambient condition	1.2013	0.0262	3	238	337	21	2015.0952
169	amendment	-0.462	0.206	2	428	693	60	2016.0167
170	american society	-0.0067	0.7649	6	146	279	14	2015.5
171	amine	0.9243	0.0829	3	300	386	26	2016.1538
172	amino acid sequence	0.0161	-0.5492	4	302	435	28	2015.9286
173	ammonia concentration	-0.5327	0.5634	5	241	313	20	2015.5
174	ammonia fiber expansion	-0.2747	0.3374	2	407	718	48	2013.6458
175	ammonia nitrogen	-0.5754	0.5143	5	155	210	19	2017.3684
176	ammonium	-0.6688	-0.0086	1	370	523	42	2015
177	ammonium hydroxide	-0.3126	0.4786	2	188	245	19	2012.7368
178	ammonium sulfate precipitation	0.3327	-0.1091	4	208	319	17	2014.5882
179	amorphous cellulose	0.1434	0.0875	4	320	458	38	2013.4211
180	amperometric biosensor	1.7938	-0.1913	3	317	618	27	2011.4815
181	amplitude	0.1981	0.2757	6	188	227	17	2015.6471
182	amylolytic enzyme	-0.182	0.3126	2	128	156	18	2015.8333
183	amylopectin	0.0022	-0.0785	4	102	114	11	2014.8182
184	anabaena	-0.4708	-0.4722	1	194	283	24	2015.5417
185	anaerobic	-0.3924	-0.0974	1	191	227	19	2014.4211
186	anaerobic biodegradability	-0.5582	0.7919	5	177	288	24	2015.125
187	anaerobic biodegradation	-0.5416	0.5522	5	94	113	11	2015.1818
188	anaerobic bioreactor	-0.5286	0.4415	5	133	166	14	2015.1429
189	anaerobic co digestion	-0.6029	0.7295	5	450	1382	106	2017.0377
190	anaerobic degradation	-0.6037	0.3626	5	152	199	20	2016.1
191	anaerobic digester	-0.5944	0.5687	5	419	915	68	2016.0441
192	anaerobic digestion	-0.5475	0.6184	5	1566	7368	611	2016.6678
193	anaerobic digestion performance	-0.5888	0.706	5	118	166	13	2016.9231
194	anaerobic digestion process	-0.5831	0.683	5	404	828	67	2016.6269
195	anaerobic digestion system	-0.5967	0.7056	5	165	263	22	2016.6364
196	anaerobic fungi	-0.3411	0.0127	4	128	153	15	2016.7333
197	anaerobic growth	-0.2696	-0.4564	1	106	142	12	2013.6667
198	anaerobic microorganism	-0.3229	0.3445	5	128	153	14	2014.7857
199	anaerobic process	-0.5625	0.55	5	242	397	30	2015.2333
200	anaerobic reactor	-0.6147	0.6672	5	218	371	28	2015.2143
201	anaerobic sludge	-0.4445	0.5999	5	219	327	31	2014.2258
202	anaerobic treatment	-0.5171	0.6304	5	114	159	12	2015.3333
203	anaerobiosis	-0.4853	-0.3659	1	91	108	11	2015.0909
204	analyte	1.6481	-0.0527	3	264	533	31	2014.871
205	analytical result	0.6144	0.2148	3	73	91	11	2015.5455
206	aniline	1.6426	-0.2325	3	187	306	17	2008.9412
207	animal fat	0.0747	0.4778	6	330	720	46	2014.913
208	animal manure	-0.6305	0.4665	5	123	160	15	2013.7333
209	animal waste	-0.5937	0.5418	5	128	158	15	2016.5333
210	ann	-0.0578	0.7011	6	156	214	16	2018.8125
211	annotation	-0.4116	-0.6705	1	674	1347	75	2015.6667
212	anode	1.7819	-0.0803	3	955	6878	365	2013.5479
213	anova	-0.113	0.5631	2	208	318	23	2014.8696
214	anthracene	1.5141	0.0294	3	200	342	18	2015.1111
215	anthraquinone	1.0705	0.0689	3	185	244	17	2014.7059
216	antibody	0.3809	-0.3731	3	299	417	29	2014.5517
217	antioxidant enzyme	-0.6837	-0.4146	1	168	280	17	2016.8824
218	aox	1.6721	-0.2111	3	146	204	10	2014.9
219	apparent activation energy	-0.1401	0.5707	2	85	104	10	2015.8
220	apparent michaelis menten	1.9603	-0.1211	3	181	356	13	2011.9231
221	apple pomace	-0.2008	0.4731	2	112	130	12	2016.5
222	application potential	0.5167	-0.1097	3	274	347	25	2015.56
223	apx	-0.6839	-0.4649	1	111	210	11	2016.0909
224	aquaculture	-0.6958	-0.2443	1	187	247	22	2016.9091
225	aquatic plant	-0.4849	0.1463	2	109	130	12	2016.75
226	aqueous ammonia	-0.2096	0.6513	2	306	534	35	2013.7714
227	aqueous solution	0.8495	0.1411	3	611	1054	80	2014.9125
228	arabidopsis	-0.5393	-0.6115	1	848	2423	149	2015.1678
229	arabidopsis thaliana	-0.4907	-0.6915	1	380	613	39	2014.2821
230	arabinan	-0.1381	0.0856	2	234	303	21	2014.3333
231	arabinofuranosidase	0.0146	-0.3727	4	222	331	23	2014.2174
232	arabinoxylan	0.0229	-0.1943	4	374	601	48	2014.7083
233	arable land	-0.65	-0.007	1	329	450	40	2014.65
234	archaea	-0.436	0.1937	5	434	767	56	2016.5536
235	archaeal community	-0.6731	0.5154	5	215	384	23	2016.6087
236	architecture	0.504	-0.3094	3	1024	2107	139	2015.4388
237	aromatic hydrocarbon	-0.0024	0.3748	2	112	159	15	2016.4667
238	artificial neural network	-0.0155	0.6449	6	186	249	21	2018.0476
239	artificial photosynthesis	0.8519	-0.2631	3	74	88	11	2014
240	arundo	-0.4651	0.3313	2	132	151	12	2015.6667
241	arundo donax l	-0.597	0.1165	2	139	156	11	2015.3636
242	ascomycota	-0.4118	0.0116	5	150	182	15	2016.5333
243	ascorbate peroxidase	-0.7029	-0.4422	1	178	351	19	2016.1053
244	ascorbic acid	1.4878	-0.1189	3	332	550	29	2014.3793
245	ash content	-0.3385	0.4503	2	297	407	47	2015.9362
246	aspen plus	-0.3324	0.7149	2	114	174	16	2015.25
247	aspergillus fumigatus	0.1821	-0.0604	4	133	157	13	2016.4615
248	aspergillus nidulan	-0.0855	-0.564	4	210	271	18	2015.3889
249	aspergillus oryzae	0.1349	0.2927	6	241	396	30	2014.3
250	aspergillus terreus	0.2258	-0.0206	4	133	151	10	2015.8
251	assembly	0.2478	-0.5321	1	1340	3301	201	2015.2886
252	astm	0.1934	0.7048	6	297	614	33	2015.8788
253	astm d	0.2371	0.826	6	149	295	16	2016.5
254	astm d6751	-0.2526	0.4424	6	264	487	25	2017.64
255	astm standard	-0.031	0.7952	6	129	263	15	2018.1333
256	atmospheric carbon dioxide	-0.5037	-0.4034	1	149	186	16	2013.0625
257	atmospheric pressure	0.0521	0.5256	2	212	263	24	2013.9167
258	atomic force microscopy	1.0424	0.0554	3	430	821	56	2014.1607
259	atp	-0.1046	-0.5951	1	469	747	57	2015.4737
260	atr ftir	0.3708	0.4695	6	123	152	10	2015.2
261	attachment	0.8504	-0.0854	3	468	737	46	2014.6522
262	au electrode	1.8344	-0.161	3	244	540	24	2011.375
263	au nanoparticle	2.0635	-0.0578	3	206	339	16	2014.25
264	aunp	1.9856	-0.2112	3	328	767	34	2015.4412
265	aurantiochytrium	-0.6332	0.0279	1	111	149	11	2015.9091
266	autoclaving	-0.3934	0.4671	2	237	309	24	2016
267	autohydrolysis	-0.2299	0.5112	2	266	393	32	2016.25
268	autotrophic condition	-0.7663	-0.4766	1	140	177	12	2015.6667
269	autotrophic growth	-0.6227	-0.4119	1	169	211	13	2015.6154
270	autumn	-0.6955	0.2644	2	140	184	15	2014.8667
271	auxiliary activity	-0.0335	-0.3937	4	140	214	12	2017.6667
272	average yield	-0.2429	0.5902	2	152	189	18	2015.2778
273	aviation fuel	-0.1597	-0.2062	1	124	153	13	2015.3077
274	avicel	0.0959	-0.1708	4	667	1305	94	2014.6702
275	b braunii	-0.6408	-0.3884	1	215	384	37	2015.9189
276	b20	-0.0987	0.3565	6	125	216	19	2016.0526
277	bacillus	-0.053	-0.008	4	681	1276	103	2016.301
278	bacillus licheniformi	0.1837	-0.2265	4	139	187	12	2016.6667
279	bacillus sp	-0.0123	0.0243	4	122	152	12	2016.5
280	bacterial	-0.2961	0.0732	5	126	145	11	2016.9091
281	bacterial cellulase	-0.0743	-0.2446	4	161	190	13	2016.9231
282	bacterial cellulose	1.1038	-0.1428	3	169	221	12	2016.6667
283	bacterial community	-0.4963	0.1563	5	476	907	63	2015.6984
284	bacterial community structure	-0.5517	0.1829	5	132	154	12	2016.0833
285	bacterial consortium	-0.1206	-0.0173	4	161	189	14	2015.7857
286	bacterial diversity	-0.3491	0.0531	5	164	203	14	2016.0714
287	bacterial population	-0.3408	0.1423	5	197	257	18	2014.7222
288	bacteroidetes	-0.4613	0.1064	5	545	1247	75	2015.9467
289	bagasse	-0.2093	0.3478	2	1713	5147	417	2016.1223
290	ball	-0.0907	0.4076	2	237	311	27	2015.4074
291	ball milling	-0.1284	0.4111	2	123	158	16	2015.0625
292	bamboo	-0.0683	0.3359	2	340	472	40	2016.5
293	barley straw	-0.3005	0.469	2	303	398	33	2015.2121
294	basal medium	-0.8139	-0.0187	1	259	378	26	2016.2308
295	base case	-0.4345	0.6981	2	170	223	20	2015.2
296	based self	1.5238	-0.1885	3	103	228	13	2018.0769
297	batch cultivation	-0.4644	-0.0985	1	399	570	43	2015.2791
298	batch experiment	-0.4607	0.4841	5	498	804	72	2015.1944
299	batch mode	-0.4156	0.2444	2	522	789	64	2015.0781
300	batch process	-0.2451	0.3354	6	424	624	55	2014.2182
301	batch reaction	0.5821	0.5333	6	152	234	17	2011.8824
302	batch reactor	-0.3263	0.6053	5	747	1471	115	2014.9304
303	batch ssf	-0.3561	0.459	2	108	160	13	2014.6923
304	batch system	0.0941	0.5264	6	191	229	17	2014
305	batch test	-0.4408	0.6304	5	277	442	38	2015.2632
306	battery	1.4318	-0.064	3	342	659	44	2015.4773
307	bbd	-0.1911	0.6838	6	131	177	11	2015.6364
308	bdf	0.171	0.481	6	134	192	12	2013.75
309	bead	0.3715	0.3739	6	363	599	45	2015.2667
310	bed	-0.2552	0.513	5	352	512	46	2015.6522
311	bed bioreactor	-0.1537	0.3409	5	271	400	32	2014.5
312	bed reactor	0.0073	0.6394	6	526	1210	90	2014.8333
313	beech wood	-0.1756	0.5931	2	97	111	11	2016.5455
314	beechwood xylan	0.2024	-0.1213	4	186	263	17	2016.0588
315	benzoic acid	1.2904	-0.0884	3	161	227	13	2015.3846
316	benzoquinone	1.4998	-0.2082	3	265	478	24	2012.5
317	best performance	0.4193	0.376	6	463	633	44	2014.5
318	best strain	-0.4345	-0.3901	1	204	265	19	2015.7368
319	bet	0.6214	0.5828	6	283	555	29	2017.6897
320	beta glucosidase	0.0145	-0.051	4	245	314	26	2015.1923
321	better growth	-0.5962	-0.3351	1	104	113	10	2014.7
322	bfc	1.8836	-0.1483	3	635	2992	152	2014.3816
323	bfcs	1.8465	-0.1636	3	195	375	20	2014.25
324	bg11 medium	-0.9051	-0.1247	1	104	145	12	2016.5833
325	bgl	0.2045	-0.3005	4	319	554	36	2015.6667
326	bgl1	0.0333	-0.457	4	132	181	11	2014.4545
327	bifunctional enzyme	-0.0013	-0.6147	4	155	183	11	2017.1818
328	big bluestem	-0.5956	0.2805	2	104	140	11	2012.7273
329	bilirubin oxidase	1.9329	-0.1392	3	691	3596	183	2014.388
330	bind	0.3459	-0.4415	4	396	595	48	2015.0417
331	binder	1.1946	0.1756	3	276	449	26	2013.6154
332	binding	0.3487	-0.2551	4	1027	2138	160	2015.45
333	binding site	0.2765	-0.4549	4	646	1050	77	2015.8701
334	bio butanol production	-0.3986	0.1327	2	91	113	11	2017.2727
335	bio char	-0.1011	0.6133	2	91	118	12	2017.1667
336	bio ethanol production	-0.2508	0.4083	2	332	479	54	2015.1667
337	bio hydrogen	-0.1908	0.2661	5	173	218	20	2016.2
338	bio hydrogen production	-0.2816	0.4408	5	174	249	25	2014.32
339	bio oil	-0.0985	0.4933	2	696	1520	158	2015.7848
340	bio oil production	-0.307	0.5059	2	122	166	17	2016.7059
341	bio oil yield	-0.1485	0.5334	2	222	374	34	2016.2941
342	bioactivity	1.1378	-0.1362	3	236	322	21	2013.8095
343	bioanode	2.0103	-0.1528	3	831	6325	300	2015.5333
344	bioaugmentation	-0.4919	0.3667	5	144	199	17	2018.0588
345	biobattery	1.9226	-0.1595	3	182	384	22	2014.8182
346	biobutanol	-0.2139	0.1874	2	516	940	79	2016.0253
347	biobutanol production	-0.2193	0.1592	2	424	845	75	2016.5467
348	biocatalysis	1.0747	-0.1118	3	577	1001	65	2014.2923
349	biocatalyst	0.7156	0.0429	6	1911	6689	449	2015.0334
350	biocatalytic activity	1.4897	-0.0088	3	240	380	22	2015.5909
351	biocathode	1.9721	-0.1252	3	786	4855	232	2015.2716
352	biochar	-0.3591	0.3733	2	500	914	87	2016.9425
353	biochemical characterization	0.1385	-0.384	4	594	1077	74	2016.9189
354	biochemical composition	-0.8097	-0.0335	1	379	594	50	2015.84
355	biochemical methane potential	-0.6066	0.7235	5	315	612	51	2016.902
356	biochemical parameter	-0.4587	-0.1144	1	121	133	10	2017.8
357	biocompatibility	1.3378	-0.04	3	412	730	45	2015.5556
358	biocrude	-0.5317	0.3445	2	141	182	17	2016.1176
359	biodegradability	-0.4173	0.6539	5	609	1147	90	2016.1111
360	biodevice	2.0094	-0.1851	3	222	438	23	2015.1739
361	biodiesel	-0.1022	0.2861	6	2654	19809	1450	2015.2007
362	biodiesel application	-0.6141	-0.0525	1	154	194	13	2014.6154
363	biodiesel blend	-0.0981	0.4706	6	162	317	27	2015.8148
364	biodiesel conversion	0.3887	0.5845	6	270	520	34	2016.2353
365	biodiesel feedstock	-0.7678	-0.0315	1	514	977	66	2015.4545
366	biodiesel fuel	0.0428	0.3612	6	348	674	49	2012.9592
367	biodiesel fuel production	0.2487	0.3019	6	144	202	15	2009.2
368	biodiesel plant	-0.5127	-0.0911	1	216	303	20	2014.55
369	biodiesel preparation	0.4834	0.4881	6	223	403	25	2016.32
370	biodiesel product	0.3028	0.4508	6	107	166	11	2015.5455
371	biodiesel production	-0.1256	0.2563	6	2351	15500	1077	2015.2869
372	biodiesel production process	-0.0331	0.4	6	416	702	55	2015.3636
373	biodiesel property	-0.607	0.0246	1	432	785	46	2017.5652
374	biodiesel quality	-0.6684	0.1564	1	264	415	28	2016.0357
375	biodiesel standard	-0.2087	0.383	6	239	435	27	2015.5185
376	biodiesel synthesis	0.3725	0.5017	6	641	1837	117	2014.8205
377	biodiesel waste	-0.3477	0.162	5	94	108	10	2012.3
378	biodiesel yield	0.2933	0.6398	6	609	1750	109	2015.6055
379	bioelectricity	0.4294	0.1634	3	182	245	18	2016.0556
380	bioelectrocatalysis	1.8091	-0.2045	3	499	1404	75	2014.6133
381	bioelectrocatalyst	2.0279	-0.1514	3	218	388	20	2011.5
382	bioelectrocatalytic activity	2.0276	-0.1796	3	359	899	40	2012.2
383	bioelectrocatalytic oxidation	1.7534	-0.2102	3	209	311	17	2014.1176
384	bioelectrocatalytic reduction	2.0267	-0.1378	3	156	231	13	2012.2308
385	bioelectrochemical application	1.7538	-0.2431	3	190	330	16	2013.0625
386	bioelectrochemical device	1.7947	-0.1625	3	252	493	23	2012.8696
387	bioelectrochemical system	0.6006	-0.0083	3	241	369	28	2016.3214
388	bioelectrochemistry	1.6701	-0.2212	3	172	270	17	2012.2353
389	bioelectrode	2.0211	-0.1104	3	581	2505	123	2015.5285
390	bioelectronic	1.7031	-0.156	3	350	682	35	2013.8
391	bioelectronic device	1.7158	-0.1919	3	346	671	37	2013.1892
392	bioenergy crop	-0.6351	-0.0625	2	899	2055	158	2015.9241
393	bioenergy feedstock	-0.6239	-0.119	2	449	710	49	2014.9388
394	bioethanol concentration	-0.2006	0.6096	2	167	233	20	2018.35
395	bioethanol conversion	-0.3193	0.344	2	131	153	13	2017
396	bioethanol productivity	-0.2319	0.2341	2	133	170	17	2016.1176
397	biofuel cell	1.7802	-0.1671	3	1264	18701	1095	2013.5269
398	biofuel cell anode	1.9997	-0.2422	3	306	697	35	2012.3714
399	biofuel cell application	1.9091	-0.1463	3	551	1895	91	2014.022
400	biofuel cell cathode	1.8462	-0.1341	3	233	451	26	2013.3077
401	biofuel cell electrode	1.6755	-0.0306	3	168	237	16	2012.125
402	biofuel cell test	2.1978	-0.1539	3	128	214	10	2015.2
403	biofuel cells	1.7893	-0.1725	3	330	664	36	2016.9444
404	biofuel conversion	-0.5337	-0.2594	1	143	185	14	2016.1429
405	biofuel crop	-0.648	-0.3332	1	691	1354	98	2014.4796
406	biofuel plant	-0.695	-0.4403	1	327	534	40	2013.8
407	biofuel product	-0.3113	-0.5533	1	144	173	15	2015.2
408	biofuel use	-0.641	0.1342	2	143	152	12	2015.4167
409	biogas	-0.5133	0.5807	5	1423	5161	456	2016.2961
410	biogas composition	-0.6807	0.6484	5	100	129	11	2015.7273
411	biogas digester	-0.5729	0.2784	5	184	268	19	2015.1579
412	biogas generation	-0.5927	0.5662	5	213	312	24	2016.5
413	biogas plant	-0.5592	0.4262	5	468	954	83	2015.7952
